site_name,population_id,admit_year,age_band,sex_group,race_group,ethnicity_group,hospitalizations,deaths,mortality_pct
UCMC,all_icu_adult,2020,75+,Male,Other/Unknown,Not Hispanic or Latino,12,<10,
UCMC,all_icu_adult,2020,75+,Male,Other/Unknown,Unknown,<10,<10,
UCMC,all_icu_adult,2020,75+,Male,White,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,75+,Male,White,Not Hispanic or Latino,181,34,
UCMC,all_icu_adult,2020,75+,Male,White,Unknown,<10,<10,
UCMC,all_icu_adult,2021,18-39,Female,AIAN,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2021,18-39,Female,Asian,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2021,18-39,Female,Asian,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2021,18-39,Female,Black,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2021,18-39,Female,Black,Not Hispanic or Latino,269,18,
UCMC,all_icu_adult,2021,18-39,Female,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2021,18-39,Female,NHPI,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2021,18-39,Female,Other/Unknown,Hispanic or Latino,20,<10,
UCMC,all_icu_adult,2021,18-39,Female,Other/Unknown,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2021,18-39,Female,Other/Unknown,Unknown,<10,<10,
UCMC,all_icu_adult,2021,18-39,Female,White,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2021,18-39,Female,White,Not Hispanic or Latino,85,<10,
UCMC,all_icu_adult,2021,18-39,Male,AIAN,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2021,18-39,Male,Asian,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2021,18-39,Male,Asian,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2021,18-39,Male,Black,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2021,18-39,Male,Black,Not Hispanic or Latino,516,47,
UCMC,all_icu_adult,2021,18-39,Male,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2021,18-39,Male,NHPI,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2021,18-39,Male,Other/Unknown,Hispanic or Latino,46,<10,
UCMC,all_icu_adult,2021,18-39,Male,Other/Unknown,Not Hispanic or Latino,12,<10,
UCMC,all_icu_adult,2021,18-39,Male,Other/Unknown,Unknown,<10,<10,
UCMC,all_icu_adult,2021,18-39,Male,White,Hispanic or Latino,19,<10,
UCMC,all_icu_adult,2021,18-39,Male,White,Not Hispanic or Latino,106,11,
UCMC,all_icu_adult,2021,40-64,Female,AIAN,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2021,40-64,Female,Asian,Not Hispanic or Latino,17,<10,
UCMC,all_icu_adult,2021,40-64,Female,Asian,Unknown,<10,<10,
UCMC,all_icu_adult,2021,40-64,Female,Black,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2021,40-64,Female,Black,Not Hispanic or Latino,701,81,
UCMC,all_icu_adult,2021,40-64,Female,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2021,40-64,Female,NHPI,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2021,40-64,Female,NHPI,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2021,40-64,Female,Other/Unknown,Hispanic or Latino,31,<10,
UCMC,all_icu_adult,2021,40-64,Female,Other/Unknown,Not Hispanic or Latino,27,<10,
UCMC,all_icu_adult,2021,40-64,Female,Other/Unknown,Unknown,14,<10,
UCMC,all_icu_adult,2021,40-64,Female,White,Hispanic or Latino,16,<10,
UCMC,all_icu_adult,2021,40-64,Female,White,Not Hispanic or Latino,217,19,
